player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url

158023,/player/158023/lionel-messi/230009,23,9,2023-01-13,L. Messi,Lionel Andrés Messi Cuccittini,RW,91,91,54000000,195000,35,1987-06-24,169,67,16,Ligue 1,1,73,Paris Saint Germain,RS,30,,2021-08-10,2023,52,Argentina,1369,RW,10,Left,4,4,5,Low/Low,Unique,Yes,99900000,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",81,89,90,94,34,64,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,,87+3,87+3,87+3,90,91,91,91,90,92-1,92-1,92-1,89+2,85+3,85+3,85+3,89+2,64+3,63+3,63+3,63+3,64+3,59+3,50+3,50+3,50+3,59+3,19+3,https://cdn.sofifa.net/players/158/023/23_120.png

165153,/player/165153/karim-benzema/230009,23,9,2023-01-13,K. Benzema,Karim Benzema,"CF, ST",91,91,64000000,450000,34,1987-12-19,185,81,53,La Liga,1,243,Real Madrid,CF,9,,2009-07-09,2023,18,France,,,,Right,4,4,4,Medium/Medium,Normal (170-185),Yes,131200000,"#Poacher, #Clinical Finisher","Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",80,88,83,87,39,78,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,,89+2,89+2,89+2,87,89,89,89,87,88+3,88+3,88+3,86+3,81+3,81+3,81+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3,https://cdn.sofifa.net/players/165/153/23_120.png

188545,/player/188545/robert-lewandowski/230009,23,9,2023-01-13,R. Lewandowski,Robert Lewandowski,ST,91,91,84000000,420000,33,1988-08-21,185,81,53,La Liga,1,241,FC Barcelona,ST,9,,2022-07-18,2025,37,Poland,1353,ST,9,Right,4,4,5,High/Medium,Unique,Yes,172200000,"#Aerial Threat, #Distance Shooter, #Clinical Finisher, #Complete Forward","Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",75,91,79,86,44,83,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,,89+2,89+2,89+2,85,88,88,88,85,85+3,85+3,85+3,83+3,80+3,80+3,80+3,83+3,64+3,66+3,66+3,66+3,64+3,61+3,60+3,60+3,60+3,61+3,19+3,https://cdn.sofifa.net/players/188/545/23_120.png

192985,/player/192985/kevin-de-bruyne/230009,23,9,2023-01-13,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,107500000,350000,31,1991-06-28,181,75,13,Premier League,1,10,Manchester City,RCM,17,,2015-08-30,2025,7,Belgium,1325,RF,7,Right,5,4,4,High/Medium,Unique,Yes,198900000,"#Dribbler, #Playmaker, #Distance Shooter, #Crosser, #Complete Midfielder","Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",74,88,93,87,63,77,94,85,55,93,83,87,89,83,93,90,76,73,76,91,78,92,63,89,74,91,75,64,88,94,83,89,65,65,53,15,13,5,10,13,,83+3,83+3,83+3,87,87,87,87,87,89+2,89+2,89+2,88+3,89+2,89+2,89+2,88+3,78+3,79+3,79+3,79+3,78+3,74+3,68+3,68+3,68+3,74+3,21+3,https://cdn.sofifa.net/players/192/985/23_120.png

231747,/player/231747/kylian-mbappe/230009,23,9,2023-01-13,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,95,190500000,230000,23,1998-12-20,182,73,16,Ligue 1,1,73,Paris Saint Germain,LS,7,,2018-07-01,2024,18,France,1335,LW,10,Right,4,5,4,High/Low,Unique,Yes,366700000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Solid Player, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",97,89,80,92,36,76,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,,89+3,89+3,89+3,90,90,90,90,90,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,67+3,63+3,63+3,63+3,67+3,63+3,54+3,54+3,54+3,63+3,18+3,https://cdn.sofifa.net/players/231/747/23_120.png
